id_vente;id_vendeur;id_client;id_produit;quantite;date
5588575055;34;100;11;80;18/08/2024
4773371507;38;99;8;81;25/09/2024
1637838202;34;98;8;14;15/09/2024
4734266512;34;98;2;91;18/02/2024
6274264132;64;98;18;31;15/03/2024
9205882938;64;97;8;99;15/05/2024
9608916954;64;97;2;30;19/12/2024
1259860010;40;95;2;66;24/02/2024
2266708425;40;94;4;64;25/09/2024
2195879738;45;93;2;82;13/10/2024
8006098754;45;93;13;51;01/12/2024
7930716659;38;92;7;99;21/03/2024
2318624707;64;92;3;41;24/09/2024
8301218571;64;92;5;26;23/02/2024
2556989407;64;92;6;77;01/04/2024
8979149592;45;91;9;44;21/08/2024
9567344391;45;91;5;34;30/04/2024
4874995536;40;90;3;49;30/05/2024
1625581326;34;90;5;32;16/01/2024
2541629255;64;90;7;34;02/07/2024
2755363129;38;88;13;19;17/04/2024
2156299202;40;88;13;81;30/07/2024
3238086328;45;88;4;21;30/09/2024
9824317938;64;87;2;43;14/01/2024
3464333860;45;86;2;45;04/05/2024
3995740841;64;86;16;30;02/05/2024
3929083947;40;85;6;43;22/08/2024
8702357172;40;84;5;65;28/07/2024
1316969001;64;84;2;59;13/06/2024
5469180846;45;84;7;11;25/07/2024
4638144219;64;83;4;22;08/04/2024
3638376238;40;83;10;92;24/01/2024
1458107251;38;83;6;87;02/10/2024
6615411588;40;82;12;79;04/07/2024
9717728763;40;82;15;25;16/03/2024
2479163868;45;82;1;20;20/03/2024
2444935895;64;82;16;18;25/03/2024
8054069323;38;82;18;22;17/06/2024
2218749684;64;80;8;43;17/07/2024
6656266413;40;76;8;95;19/05/2024
5625226123;64;75;11;24;02/08/2024
7998811110;45;74;5;92;15/04/2024
6736365247;45;74;15;47;25/11/2024
5210895971;34;73;14;77;15/01/2024
7410530423;34;73;18;87;16/09/2024
1028207927;34;71;13;66;05/06/2024
7216964667;40;71;15;71;01/02/2024
6175403404;64;70;4;31;29/11/2024
7168315742;45;69;4;20;16/04/2024
2339568985;40;69;9;37;23/08/2024
