id_vente;id_vendeur;id_client;id_produit;quantite;date
3164132747;60;99;7;85;04/11/2024
4427722155;60;99;16;57;24/09/2024
4819018257;67;96;11;29;03/02/2024
2478201134;61;95;4;70;24/04/2024
1531838352;52;95;2;43;21/05/2024
4080001762;52;95;15;46;16/10/2024
4460451432;60;94;3;29;01/09/2024
4698966449;52;94;12;47;01/03/2024
1566691093;60;93;16;62;27/10/2024
8764981722;60;92;18;37;05/01/2024
4279193731;60;91;17;92;18/02/2024
6428260073;67;91;5;15;15/06/2024
3535557541;52;91;6;81;18/07/2024
5308650766;61;91;9;76;16/09/2024
1664428380;67;91;11;43;26/05/2024
2242163820;60;90;1;89;23/12/2024
7909157852;52;89;13;24;16/01/2024
5284985982;60;88;6;56;25/06/2024
2158769270;60;88;3;18;09/05/2024
7575004714;60;88;13;63;10/02/2024
3788215184;52;87;15;97;05/05/2024
2577507043;61;87;1;18;11/07/2024
9877043132;52;87;11;35;15/11/2024
9588683826;61;86;12;70;28/06/2024
4570681434;52;86;14;67;30/12/2024
9922096927;61;86;4;76;10/03/2024
1932588845;52;84;18;13;23/01/2024
3234925707;52;82;15;25;30/07/2024
1905271854;60;82;2;82;12/10/2024
7117698026;52;81;4;67;02/06/2024
7859000817;61;81;3;46;05/10/2024
6464289405;67;81;5;36;08/05/2024
1732975794;67;81;14;31;21/08/2024
1998396829;60;81;18;40;25/04/2024
9712821262;67;80;3;39;15/05/2024
7493755659;67;80;18;11;26/01/2024
2807162122;61;79;3;70;12/02/2024
1206410023;60;79;3;54;26/02/2024
6268502761;60;79;1;38;05/07/2024
6572000246;60;78;5;14;14/06/2024
9395477550;61;78;19;72;22/06/2024
4010677374;52;78;16;72;23/09/2024
5090905063;60;77;10;44;16/05/2024
3892249000;52;76;6;57;05/01/2024
9345665611;60;76;17;60;07/08/2024
1467661216;61;75;1;79;22/08/2024
6385864455;67;73;9;66;20/04/2024
3066082261;60;72;10;44;05/06/2024
1201528950;52;71;17;93;12/03/2024
6032355204;61;70;7;64;02/09/2024
6237975009;60;69;12;30;24/10/2024
1167276148;67;67;15;48;10/11/2024
1582979632;52;66;12;15;27/09/2024
4411021357;67;65;1;100;14/04/2024
2316383102;61;64;8;59;15/11/2024
9304772638;52;62;16;28;03/04/2024
9468023399;60;61;17;39;27/06/2024
3817114946;52;61;4;76;07/03/2024
5761658271;52;60;1;90;05/02/2024
5278630143;61;60;10;16;15/09/2024
5353278287;67;59;14;22;05/05/2024
9207049072;61;59;2;52;26/02/2024
1370492344;52;58;6;32;20/11/2024
2262179629;52;56;11;19;11/09/2024
6662727810;61;54;15;42;21/09/2024
5506338821;52;54;12;35;10/01/2024
3534075642;67;54;10;48;02/02/2024
5725686361;60;53;16;25;16/03/2024
5959898869;61;52;19;71;27/12/2024
8692520967;52;51;13;97;16/03/2024
6287660137;61;49;12;83;21/08/2024
1922795556;67;49;10;52;04/01/2024
3581857955;67;49;9;56;16/12/2024
1185911413;61;48;5;11;21/10/2024
9138246198;52;47;2;45;23/03/2024
7898988143;52;46;7;56;09/03/2024
8121799937;60;45;11;20;25/03/2024
7701821332;52;45;19;32;23/10/2024
2551621936;61;45;19;39;23/02/2024
5607547448;67;44;3;64;14/12/2024
9511287231;61;44;7;98;16/03/2024
8551270488;52;43;3;94;23/09/2024
4688488915;52;43;18;62;13/12/2024
2849497392;67;42;11;91;23/02/2024
8573654552;67;40;5;28;30/01/2024
7886442618;60;39;7;56;09/07/2024
8715000786;61;38;17;99;22/08/2024
9653798858;60;37;14;62;15/04/2024
5227204696;61;35;14;32;04/08/2024
9821511268;61;35;5;54;11/04/2024
8541641291;60;35;19;88;13/08/2024
4869071686;52;34;15;98;06/07/2024
2344064629;61;34;12;25;08/06/2024
4265793965;61;34;14;20;24/06/2024
2445101873;60;32;7;100;06/12/2024
5016607955;67;32;16;59;15/10/2024
6019634779;60;31;13;40;20/04/2024
9174865288;52;30;6;63;25/05/2024
3219960143;60;28;2;46;19/05/2024
7753762252;60;26;9;30;24/12/2024
6483736252;61;26;4;17;21/01/2024
9760048899;60;25;1;88;20/09/2024
2196328628;60;24;2;25;30/08/2024
8243910682;52;24;9;87;09/10/2024
5271052478;67;23;19;90;22/09/2024
3062285358;52;22;16;25;01/02/2024
4088596208;52;22;2;77;05/05/2024
8114772650;67;19;9;17;10/10/2024
5800236167;67;18;12;92;25/07/2024
7402264642;52;16;6;35;07/10/2024
6941625945;52;15;5;31;30/08/2024
4844831322;60;15;15;88;08/09/2024
8581473865;60;15;19;96;16/10/2024
3598945358;61;14;2;76;22/11/2024
8963877868;52;13;4;74;11/07/2024
6768971505;61;13;7;96;24/05/2024
8464196258;52;13;12;72;10/11/2024
4749029920;67;10;3;38;31/03/2024
4275817738;52;10;8;82;11/12/2024
1450725815;67;10;13;100;29/02/2024
5519056403;61;8;12;54;09/02/2024
5969808141;60;7;13;63;04/07/2024
7224521396;67;7;11;70;06/04/2024
3121563229;61;6;18;83;11/09/2024
7215675457;61;5;11;37;26/11/2024
8706210726;61;4;10;66;11/09/2024
8518246831;52;4;14;93;08/08/2024
5956633554;67;3;8;65;13/01/2024
1127525341;67;3;12;87;26/06/2024
5932693157;61;3;14;16;12/11/2024
