id_vente;id_vendeur;id_client;id_produit;quantite;date
2771391796;37;99;16;24;07/07/2024
2974937198;37;99;7;76;06/10/2024
5135807068;35;98;19;69;03/01/2024
8303885815;37;96;5;45;09/04/2024
2469906180;37;96;2;42;07/05/2024
1038853789;37;92;1;48;17/12/2024
4839657238;58;91;15;84;26/04/2024
2340611763;37;90;3;99;03/03/2024
8154729213;58;90;17;31;13/05/2024
1157892190;37;89;5;47;24/03/2024
7135642032;37;89;8;65;27/02/2024
8272458880;37;88;7;44;19/10/2024
7907489089;37;87;7;54;22/03/2024
6961943518;35;86;17;69;27/11/2024
7737474196;58;84;15;88;03/03/2024
9366808363;58;82;19;62;23/11/2024
8632783479;35;82;10;71;10/11/2024
9663139717;37;81;14;72;07/04/2024
7083404481;58;80;6;41;26/10/2024
7266761966;37;80;15;94;16/01/2024
3143570133;58;80;6;32;11/02/2024
9026257384;35;77;7;22;08/11/2024
3855719796;37;76;4;41;23/07/2024
9072036450;37;76;17;100;25/06/2024
1858994334;37;76;15;39;01/02/2024
6315125727;37;75;1;47;04/04/2024
8261724543;58;72;17;10;27/05/2024
2072305221;58;71;6;34;05/08/2024
8916919659;37;70;8;40;22/09/2024
1686101883;35;68;9;85;08/09/2024
3553972255;58;67;13;19;26/02/2024
1056517668;35;66;10;86;12/10/2024
9512096570;35;63;10;69;18/12/2024
5278834973;58;62;9;16;16/02/2024
5671094305;37;60;17;23;03/07/2024
8300876984;37;59;16;73;01/08/2024
6019730185;35;58;13;30;17/01/2024
1273085193;58;58;12;69;22/09/2024
8363125417;58;55;5;11;02/05/2024
5292033622;37;52;10;32;27/05/2024
5954112941;35;50;13;18;14/08/2024
8844217860;37;50;3;91;01/11/2024
1068302425;37;49;6;19;06/06/2024
6603981635;58;48;4;61;22/04/2024
9137254005;37;48;14;59;27/10/2024
7863920957;35;48;14;71;02/04/2024
7040821326;37;47;14;58;26/02/2024
3036580567;37;47;10;23;30/03/2024
7442750554;58;47;6;49;07/11/2024
4785859411;35;47;17;69;16/09/2024
3534844428;35;46;13;49;27/05/2024
7519748638;35;46;9;13;02/05/2024
8507891428;35;45;19;95;27/05/2024
2215377667;37;44;7;72;08/07/2024
3884786350;58;42;11;42;23/05/2024
6527685926;37;41;19;70;23/10/2024
6632849263;35;39;17;53;31/07/2024
6047161408;58;38;16;54;15/02/2024
4058627541;37;34;16;80;26/08/2024
8103991639;58;31;6;71;02/01/2024
3473094674;37;30;9;41;28/01/2024
1600046231;35;27;13;15;04/06/2024
7277018998;35;24;18;69;07/07/2024
2402773043;37;23;18;99;27/12/2024
5770239930;37;23;14;89;20/05/2024
1143786980;37;22;3;12;02/01/2024
8390986560;58;21;13;55;06/03/2024
9321927598;58;17;9;94;14/10/2024
5289504792;37;15;3;50;09/07/2024
5668450431;37;14;7;58;13/09/2024
2763192361;58;13;1;41;18/06/2024
2779096064;58;13;7;85;31/07/2024
3472093749;58;12;8;22;01/09/2024
6278760512;35;12;1;74;26/09/2024
8985252918;35;10;15;90;15/01/2024
7460096154;35;9;1;41;21/12/2024
3526631799;35;8;7;87;26/12/2024
1235692827;35;5;10;97;29/09/2024
5027593812;37;4;18;73;03/11/2024
5231523392;37;3;13;93;15/11/2024
8837620996;35;3;11;16;04/01/2024
5754862423;35;2;14;82;18/08/2024
5145063273;58;1;14;38;21/11/2024
4622010021;37;1;12;34;30/09/2024
