id_vente;id_vendeur;id_client;id_produit;quantite;date
2088543464;53;100;3;31;02/05/2024
2844520572;49;100;4;61;13/07/2024
1185753629;51;67;10;61;14/04/2024
7605983911;53;85;18;91;01/02/2024
4950454723;51;100;11;59;03/03/2024
3908353406;22;74;1;28;11/01/2024
6789884445;51;21;9;73;10/06/2024
1243039288;51;97;2;94;28/04/2024
1576110404;51;75;12;65;05/04/2024
2206273004;22;2;13;42;07/12/2024
2612658152;48;48;14;65;09/04/2024
5306947137;49;76;11;32;11/06/2024
2013364595;49;27;14;40;04/03/2024
8174122623;49;14;2;87;14/05/2024
6954844509;23;44;5;60;22/11/2024
8916479186;49;22;3;48;08/03/2024
8952065163;51;59;14;22;18/05/2024
3077210714;23;4;4;60;13/10/2024
7739978005;48;50;14;20;02/08/2024
4180530549;49;18;11;97;31/07/2024
9369848124;22;59;16;67;26/12/2024
9405994093;53;7;9;12;15/01/2024
8796215830;53;30;7;55;14/10/2024
1589845288;23;25;13;16;23/03/2024
9110270491;48;85;6;58;22/06/2024
2770295036;23;85;10;74;18/07/2024
5105893199;48;22;18;81;24/04/2024
4548495601;23;14;9;74;04/07/2024
2664973003;22;80;9;96;19/08/2024
8622999931;48;4;1;58;04/03/2024
5498994145;48;31;3;63;12/02/2024
1983742072;22;44;13;27;22/11/2024
4789509191;22;77;9;40;04/07/2024
8693067333;48;100;6;29;28/02/2024
2008523621;53;11;12;84;26/07/2024
3808127722;53;51;16;87;01/08/2024
9138249238;53;12;13;47;19/08/2024
5209879702;23;67;10;24;03/08/2024
1760523303;49;86;11;37;11/03/2024
2589004088;23;87;7;75;06/12/2024
9847650161;49;5;16;85;17/11/2024
1233424669;51;66;4;43;15/10/2024
4453337344;22;90;13;18;25/02/2024
2365807535;51;66;16;87;09/01/2024
6126616278;22;10;8;89;09/09/2024
9929576727;22;80;8;19;22/03/2024
8769085193;49;51;15;77;17/07/2024
5327949772;49;20;4;98;04/04/2024
2132816748;49;4;15;94;17/04/2024
3333619912;48;6;17;70;26/03/2024
7628148068;22;95;1;65;22/10/2024
6574395386;51;7;19;14;01/01/2024
7871045804;49;40;14;74;08/12/2024
8606375778;22;28;11;12;22/12/2024
9721475639;53;12;1;21;04/03/2024
4981784897;53;44;6;71;14/09/2024
8236347042;48;55;12;33;12/10/2024
1605198406;48;77;19;26;09/08/2024
9508365584;22;20;7;77;05/06/2024
2926515077;48;67;13;53;18/03/2024
9949898012;49;50;11;61;15/11/2024
2319263440;23;17;19;97;22/04/2024
7356457821;23;39;19;60;10/02/2024
2562804375;49;76;1;97;02/08/2024
7896959133;49;8;18;90;11/12/2024
5008690234;51;32;9;10;24/05/2024
6076752519;22;42;15;28;04/11/2024
6937494201;48;12;2;10;30/10/2024
6853412452;23;39;13;33;11/01/2024
2710462849;23;11;10;33;01/06/2024
6083996298;48;52;16;74;22/02/2024
8096226415;48;75;19;50;09/06/2024
4462276467;23;18;2;31;13/02/2024
9716537637;22;4;16;96;16/09/2024
5995361469;49;19;1;48;11/10/2024
1205572172;53;6;18;44;17/02/2024
9492400850;23;98;12;12;12/02/2024
8611281045;51;11;12;21;03/07/2024
9709269314;23;53;12;32;13/07/2024
1260046888;51;27;1;24;02/01/2024
3065969283;48;21;8;44;03/08/2024
3855493588;22;67;12;97;23/11/2024
2266094467;49;95;13;24;26/02/2024
6857306331;48;47;14;45;03/08/2024
1038135383;53;100;14;10;24/01/2024
4114831902;23;97;4;37;01/09/2024
5835884640;49;31;19;37;18/04/2024
4466276519;22;23;15;72;26/08/2024
9725871997;22;30;10;32;29/06/2024
7431540250;49;95;13;95;19/03/2024
3882753382;49;65;10;64;26/09/2024
6184835336;22;39;2;42;25/10/2024
3390605947;23;78;2;37;03/08/2024
6062482200;49;35;13;10;22/06/2024
7210624273;48;31;10;80;17/01/2024
4109526217;53;70;19;62;13/01/2024
8113375726;22;29;16;49;13/02/2024
7872500589;51;40;19;12;30/03/2024
6683385329;53;25;9;22;16/02/2024
2720121328;22;92;11;42;20/12/2024
6208868234;22;59;3;27;18/06/2024
9462252284;23;78;6;90;27/03/2024
2965320183;48;40;12;93;21/08/2024
3448223537;23;9;12;79;04/05/2024
7814290555;51;76;16;36;27/08/2024
5546336466;22;55;18;32;26/07/2024
3062608786;22;86;3;45;07/02/2024
6268850244;48;83;3;66;04/10/2024
4623238378;22;82;1;95;21/02/2024
5081356792;23;61;15;40;13/01/2024
3592015983;51;42;11;16;09/05/2024
1918299776;22;11;7;44;22/12/2024
9894003330;51;69;12;35;09/01/2024
6607551750;51;2;17;16;15/04/2024
5792310898;22;62;13;100;20/05/2024
8477802519;51;44;11;29;07/10/2024
5180179659;51;96;5;27;10/04/2024
5237395884;22;2;12;53;02/12/2024
7724759829;22;12;16;72;29/06/2024
6606541434;51;4;2;95;08/10/2024
3732801517;48;100;5;75;05/02/2024
4097512644;48;59;8;96;16/05/2024
2458990332;49;74;17;69;16/02/2024
5548884368;22;98;3;67;03/11/2024
4947577977;53;32;16;12;26/08/2024
1763540281;48;89;9;95;20/06/2024
1174750319;23;87;12;68;12/07/2024
4494619956;49;13;16;33;06/11/2024
9753482090;23;32;11;76;14/11/2024
2458802801;49;94;8;49;02/01/2024
5780888704;48;29;12;88;23/04/2024
5896483131;53;20;17;64;18/02/2024
7388933466;23;38;4;34;28/07/2024
3520731820;53;65;8;92;23/11/2024
1951819466;49;76;5;50;24/04/2024
9940649531;51;56;17;26;19/11/2024
8599596133;22;5;10;24;12/07/2024
4343617419;22;68;8;70;28/10/2024
8268224763;23;24;17;37;06/12/2024
7317430485;22;92;4;39;20/12/2024
8820157768;48;27;8;17;10/11/2024
3084864238;53;38;6;63;24/08/2024
2614440457;22;45;13;37;12/10/2024
2441165756;49;11;15;77;13/06/2024
5269487116;22;85;1;23;31/07/2024
9018748954;22;64;11;82;26/05/2024
8278357949;48;22;12;41;24/12/2024
9432566086;22;7;12;34;13/01/2024
1990841015;51;65;17;76;29/04/2024
5908975632;53;69;11;59;16/10/2024
8520540692;51;10;12;18;17/01/2024
5813881766;53;31;13;41;17/03/2024
1004016677;48;17;15;25;13/08/2024
6410521747;23;31;18;61;11/10/2024
2387971324;49;17;12;78;13/05/2024
6508108538;23;15;9;64;15/06/2024
4315603986;22;61;3;37;11/02/2024
6716762711;23;47;12;54;26/04/2024
9195711757;23;85;18;82;20/08/2024
8249731263;48;34;15;27;20/04/2024
4561004087;49;49;10;35;26/12/2024
4749995484;22;64;2;73;24/10/2024
8420779584;22;33;13;24;24/04/2024
2803918071;51;78;5;25;04/07/2024
9508644228;23;81;5;91;15/07/2024
4370348741;51;39;3;84;20/12/2024
5764329230;22;70;4;87;27/09/2024
4404539700;53;83;5;56;01/07/2024
9751522622;51;22;11;85;28/05/2024
7111619279;53;8;1;39;10/02/2024
3945139553;49;97;14;84;19/07/2024
6584975988;53;77;3;60;05/09/2024
3338032335;51;72;3;79;04/03/2024
1017678962;53;2;17;48;18/01/2024
9014282383;49;84;10;92;11/09/2024
3602634936;53;62;2;24;26/06/2024
6789622362;53;53;18;74;30/03/2024
1347059277;22;54;11;33;25/07/2024
5159339814;51;62;1;98;30/10/2024
4481812663;51;72;12;100;22/06/2024
1906499380;51;81;11;55;07/03/2024
9128205533;48;6;19;76;18/03/2024
2935711265;23;22;6;24;09/01/2024
7537586749;23;34;18;38;28/10/2024
6783204290;23;54;4;79;03/02/2024
9512452684;22;18;19;51;24/10/2024
8147689084;22;35;7;46;23/05/2024
2821235654;51;77;15;46;27/06/2024
