id_vente;id_vendeur;id_client;id_produit;quantite;date
2836631620;62;69;6;50;19/09/2024
3070200867;46;47;9;41;02/04/2024
7576045505;65;14;9;62;04/03/2024
8297569719;46;58;10;87;13/05/2024
5258485673;56;88;7;58;06/03/2024
1687897014;66;35;10;41;22/02/2024
2587661135;63;60;16;95;12/06/2024
6542787103;62;85;4;20;07/06/2024
7781434493;56;35;13;50;15/07/2024
1819128250;66;48;11;69;16/02/2024
9347353807;54;14;16;27;29/08/2024
6929079054;54;28;15;43;31/07/2024
9117209238;66;43;6;24;18/09/2024
6641080665;63;74;17;93;26/03/2024
6297562541;46;90;17;37;21/01/2024
6590538643;46;15;8;50;31/03/2024
1080696853;65;39;7;24;12/01/2024
3903329181;63;4;4;33;17/11/2024
6357855995;54;10;9;46;01/12/2024
3963839903;54;80;4;26;31/03/2024
4339218189;66;16;13;16;10/09/2024
3354393752;63;26;16;86;03/05/2024
7915283670;56;79;4;59;13/06/2024
7239492981;65;37;17;91;01/11/2024
9681242809;65;11;1;53;17/01/2024
5806928754;63;40;9;35;10/10/2024
7594581685;65;35;3;60;26/03/2024
2913094592;46;23;1;73;05/05/2024
9459776414;56;29;17;23;14/03/2024
1125985162;62;29;9;96;30/05/2024
1125808750;46;37;8;97;01/04/2024
2789102712;54;36;17;35;06/04/2024
5478905111;66;35;7;84;20/11/2024
6892201304;65;19;6;86;07/01/2024
3022530475;54;48;12;47;09/09/2024
8916126374;46;90;6;70;30/12/2024
9796080679;46;65;17;28;07/06/2024
4134330025;56;67;3;21;17/11/2024
8014907272;56;26;2;39;07/05/2024
9881188640;65;65;11;70;25/09/2024
2564414508;65;83;14;86;13/04/2024
5752017222;62;61;1;75;01/07/2024
6400698342;63;23;15;52;24/01/2024
5000659175;65;40;9;79;27/12/2024
5029488062;46;16;4;69;02/04/2024
4061315027;56;64;12;25;18/11/2024
1754159623;56;27;1;16;11/12/2024
7353212214;63;39;15;92;20/03/2024
3352209579;54;52;1;73;06/09/2024
6792106974;65;44;18;97;29/09/2024
8320261663;65;30;6;32;13/08/2024
5400181669;66;35;19;10;01/01/2024
2215818444;62;67;1;68;23/05/2024
8578862483;54;82;4;68;29/10/2024
2699237001;65;17;14;57;08/07/2024
6530485993;63;49;3;71;09/08/2024
1172709043;54;72;12;36;25/04/2024
3298421688;62;8;9;37;01/09/2024
7734247398;66;50;19;37;26/09/2024
9212853987;62;22;14;99;26/06/2024
8848440772;62;86;2;79;19/06/2024
7270582346;66;94;12;67;19/07/2024
4827181767;63;1;7;26;27/12/2024
8302844137;56;61;8;14;16/02/2024
5342488270;54;82;15;20;24/08/2024
2398238461;65;94;5;36;17/01/2024
8665995868;63;8;16;16;10/07/2024
4519244209;65;20;17;66;24/01/2024
9740074736;46;48;12;76;26/02/2024
1246541138;63;1;14;23;17/05/2024
8591619952;66;83;13;96;30/11/2024
9599408975;66;61;18;37;18/09/2024
7927223844;46;73;11;28;28/03/2024
7383942750;56;50;8;91;11/09/2024
4889944569;63;94;13;17;24/10/2024
7475650203;56;63;6;31;25/05/2024
6106822243;66;48;9;75;28/09/2024
5961469800;46;54;14;59;08/10/2024
7752185926;54;76;12;44;22/11/2024
8252832303;56;34;13;79;15/10/2024
5989614700;66;98;17;48;30/09/2024
7712260505;63;79;13;37;06/08/2024
4384581180;56;90;16;13;11/02/2024
2494110921;46;65;1;71;07/02/2024
7803580407;46;71;3;81;21/07/2024
1897533588;66;1;16;72;08/04/2024
7629834468;56;35;15;40;12/04/2024
5995808385;56;70;6;84;02/12/2024
3250965260;63;29;5;13;12/12/2024
1787426807;65;73;12;33;30/12/2024
6214698694;54;35;1;16;14/11/2024
4217101364;66;95;7;31;03/11/2024
5730960936;46;52;19;21;28/11/2024
7300093383;63;59;4;21;23/12/2024
6849506477;54;39;16;44;18/07/2024
7515371083;65;69;11;21;18/05/2024
7520257537;46;59;12;40;09/12/2024
9736841042;54;20;1;30;20/04/2024
4684358928;46;39;5;44;05/06/2024
5833154894;62;31;18;73;18/07/2024
2056301053;46;88;15;74;06/04/2024
6942717459;62;76;8;71;28/07/2024
8199826813;56;27;2;88;20/07/2024
8807299565;65;72;2;26;29/02/2024
2706236371;66;50;11;24;20/08/2024
7817722841;46;57;10;46;15/01/2024
4954073874;63;88;18;88;13/05/2024
1668130247;62;82;4;33;11/07/2024
4558196004;63;79;13;19;05/01/2024
7646480783;46;29;19;25;04/04/2024
3151299175;56;62;4;83;12/02/2024
4868982650;62;44;17;66;22/01/2024
7434633566;54;27;5;12;03/05/2024
3847915579;66;21;5;95;05/05/2024
2845488812;54;47;11;34;13/04/2024
5713334135;54;70;2;89;20/01/2024
8380395743;54;50;6;18;07/01/2024
4387129220;63;80;19;96;23/10/2024
5131197416;63;21;8;88;24/06/2024
4406170780;54;7;11;27;12/09/2024
3732034728;65;68;7;57;20/03/2024
8761234409;46;49;15;22;30/08/2024
1312515198;65;29;11;86;02/06/2024
2261518775;62;22;17;52;20/01/2024
7212809674;56;97;4;67;17/10/2024
4088889584;65;27;10;57;23/05/2024
8532979488;56;7;19;93;24/11/2024
9651389155;66;32;11;70;18/10/2024
3641815794;66;53;16;24;20/09/2024
9549544212;56;96;13;99;10/09/2024
6434741292;56;29;1;24;19/07/2024
9405169922;56;3;14;25;09/05/2024
4099425002;46;13;1;65;15/11/2024
6315116359;62;23;3;15;31/05/2024
1225756117;66;22;6;80;09/08/2024
6033565884;63;4;18;39;16/11/2024
9288848710;54;83;13;12;14/02/2024
5161621266;54;36;8;52;08/10/2024
1562920002;54;13;9;19;28/07/2024
2345221205;56;84;9;27;07/07/2024
2692040775;62;81;11;82;18/03/2024
8286002587;54;63;13;71;22/06/2024
7998395998;62;62;7;10;12/06/2024
6625341254;66;94;1;24;08/04/2024
2994837745;65;60;9;11;15/10/2024
8790827888;65;94;9;40;31/07/2024
1116594460;62;24;17;70;13/11/2024
1872349948;66;60;18;21;14/07/2024
2508447427;65;55;10;28;03/09/2024
9396128441;62;61;15;22;27/01/2024
4773177120;46;70;6;71;13/01/2024
4053801569;65;29;16;84;26/06/2024
3871722186;65;20;17;74;24/03/2024
4488207451;56;17;4;39;22/02/2024
8624372359;65;17;18;24;20/12/2024
7082642732;46;50;16;66;16/02/2024
2783223829;62;86;7;18;25/10/2024
1309335300;56;20;5;31;16/11/2024
9567457476;66;70;18;95;14/02/2024
6814627960;66;72;18;10;15/11/2024
1936813225;63;88;14;49;15/09/2024
9202061241;54;39;13;57;01/07/2024
9750153328;65;41;17;94;23/08/2024
9863983239;63;61;14;32;23/01/2024
1000480601;65;11;14;60;16/09/2024
7223083218;46;22;16;26;09/09/2024
3259115482;63;34;14;73;22/02/2024
9757246676;66;10;16;12;25/01/2024
6410637680;65;57;13;20;08/12/2024
3894312764;54;12;18;23;21/08/2024
4136087849;65;81;6;72;07/07/2024
6934118471;62;14;12;31;14/02/2024
2408602269;56;29;11;36;20/09/2024
6871880592;65;4;17;26;31/01/2024
7031553486;62;31;15;60;23/10/2024
9415625519;46;74;18;64;19/11/2024
4392296304;56;62;6;19;21/04/2024
6488457000;56;76;5;81;08/05/2024
3796578768;46;62;13;53;05/08/2024
8557108280;54;97;17;11;05/10/2024
3992205422;54;81;1;30;06/03/2024
1912595061;66;38;13;40;14/07/2024
1393534568;63;48;2;56;08/11/2024
5507959729;56;41;6;18;17/09/2024
8473158312;54;3;16;37;16/12/2024
3930885575;46;35;11;76;30/08/2024
4938467087;63;56;15;60;16/08/2024
6035639299;63;49;11;41;16/01/2024
4588422100;62;33;8;15;05/01/2024
7391493227;66;53;18;69;30/11/2024
9618761451;54;5;5;50;16/07/2024
7651258071;62;64;14;38;27/11/2024
4076932663;56;95;1;54;30/10/2024
4173207236;62;89;12;20;19/12/2024
2252785585;62;24;15;51;03/10/2024
3242276695;66;32;17;55;25/12/2024
6374088574;54;67;10;28;03/05/2024
6686306946;65;63;3;40;01/03/2024
8374192437;46;66;3;88;08/04/2024
3685985927;56;9;17;20;07/07/2024
9700796726;54;8;18;86;16/09/2024
5256347629;63;20;1;64;07/01/2024
3622988909;56;37;6;19;09/03/2024
6600261014;66;93;16;85;19/04/2024
2918379294;54;82;11;83;10/05/2024
3623807684;63;83;7;17;17/03/2024
8203738377;63;30;5;80;27/07/2024
6571819892;63;20;7;35;26/04/2024
9710755818;63;23;9;81;17/03/2024
2666033876;63;25;16;43;05/03/2024
6874297484;63;17;19;76;24/03/2024
8975975118;46;76;14;72;15/06/2024
6357062679;66;66;9;18;19/12/2024
2181510977;65;31;7;96;08/08/2024
2593432869;66;79;17;57;06/02/2024
7700401939;62;72;17;62;23/09/2024
7088615071;63;97;4;23;02/03/2024
9678458490;66;66;10;15;01/08/2024
