id_vente;id_vendeur;id_client;id_produit;quantite;date
6391467919;28;85;9;24;28/02/2024
6669187825;47;74;16;64;07/03/2024
1825771566;28;29;13;15;28/11/2024
9667870655;59;79;19;92;17/09/2024
9301931096;59;34;6;59;25/02/2024
9015722677;28;47;3;94;09/01/2024
1453594574;59;5;12;98;18/09/2024
7185956695;47;68;14;20;02/09/2024
5709345737;41;22;1;12;04/01/2024
1110754661;41;88;11;39;03/07/2024
6641913798;28;52;8;52;16/02/2024
7205996328;59;82;19;82;03/02/2024
5772957994;47;29;11;13;05/06/2024
1505542175;28;58;10;61;15/04/2024
5513475341;59;69;16;83;11/10/2024
5684130447;47;78;13;84;08/03/2024
4425943073;59;97;16;79;26/08/2024
4243528220;47;68;18;32;25/05/2024
6979049704;47;40;16;40;30/04/2024
6027025612;28;45;11;74;04/03/2024
7782934721;59;25;19;31;20/05/2024
8552614487;59;21;15;60;12/10/2024
2269648278;47;36;14;50;25/05/2024
8114688631;28;4;17;49;27/04/2024
7104878430;41;20;10;53;08/12/2024
3076606445;41;100;18;52;11/05/2024
9437142530;47;7;16;58;01/05/2024
4182503912;59;97;14;81;26/11/2024
2031226090;59;13;14;35;10/10/2024
6975837306;28;24;15;99;31/03/2024
1468927802;28;33;15;22;04/04/2024
5339173647;59;75;19;68;28/10/2024
1275064686;41;7;14;82;14/03/2024
6562235625;47;99;7;56;19/04/2024
5744247728;47;61;19;15;02/11/2024
5616869991;41;88;5;48;25/12/2024
9827812148;47;17;11;19;29/08/2024
8626423672;59;74;8;38;01/06/2024
1393935861;41;58;17;47;13/11/2024
2124540949;47;18;6;41;18/11/2024
2965603495;28;14;19;34;14/02/2024
8309467446;47;93;2;61;19/01/2024
9701957721;28;95;5;95;01/09/2024
5618970651;41;58;16;64;19/02/2024
4615772427;47;46;13;54;13/02/2024
7705500103;47;77;10;21;30/04/2024
5929769476;59;88;10;29;01/01/2024
8784162178;47;1;2;81;18/09/2024
9830021167;28;27;9;36;24/12/2024
4063190803;59;63;8;77;21/06/2024
6012460228;28;3;2;50;03/06/2024
6009226498;47;95;9;78;06/08/2024
7430541797;41;78;7;18;24/08/2024
3625898404;41;24;19;60;13/10/2024
5344521130;41;34;3;40;21/05/2024
3153436575;59;18;1;79;24/03/2024
4788617375;47;6;8;73;15/12/2024
9707870837;47;1;1;59;06/03/2024
1388461600;59;39;11;72;18/05/2024
6216133375;59;31;1;38;29/07/2024
4177513467;59;7;8;81;04/02/2024
1471915402;41;85;8;18;21/10/2024
4046914105;28;14;5;81;01/09/2024
5321343027;47;61;11;31;05/04/2024
6443565891;59;49;16;72;26/07/2024
6367251498;28;8;16;66;19/05/2024
8705529595;28;71;15;90;05/02/2024
4312883417;28;69;10;87;14/01/2024
5020907459;41;80;13;90;29/05/2024
1578107844;41;83;5;28;11/06/2024
9953275714;47;93;8;21;26/09/2024
3823128250;28;29;2;76;14/03/2024
8673433947;47;33;6;63;26/02/2024
3932789126;47;63;8;70;11/01/2024
8094689139;28;38;9;90;21/07/2024
9397421782;47;23;3;72;20/03/2024
1464729002;59;67;17;96;10/10/2024
6753182403;47;98;15;40;11/03/2024
6841877205;59;31;9;44;08/11/2024
1338978025;28;95;3;73;31/05/2024
2583375771;47;47;18;58;06/03/2024
6440801372;28;80;2;99;05/09/2024
2241196619;47;28;8;65;14/05/2024
9089858006;41;53;11;65;21/03/2024
5425238932;59;73;1;88;02/08/2024
5014140216;59;68;12;97;09/07/2024
1572701035;59;65;5;83;28/11/2024
6680451149;47;22;13;86;01/08/2024
8347489898;28;34;17;44;14/10/2024
3142596236;41;80;5;78;12/02/2024
4092219689;41;91;8;68;29/02/2024
3268434525;47;9;18;76;19/09/2024
4905311684;47;98;10;74;17/02/2024
6382707510;59;73;15;39;25/07/2024
7549303381;59;31;13;87;02/08/2024
9426561398;28;55;8;68;02/11/2024
6156364902;28;69;18;14;08/07/2024
4298133958;47;27;2;28;19/09/2024
2471510823;59;41;4;26;02/08/2024
9107476490;28;15;4;27;16/01/2024
3844766955;28;53;3;67;11/01/2024
1682466876;59;79;6;50;27/06/2024
9856705867;47;88;18;71;29/09/2024
3683749690;59;91;9;67;15/11/2024
4367604126;59;67;2;76;18/07/2024
9692350064;47;13;11;76;13/11/2024
9979344543;41;31;8;31;21/09/2024
6358744566;28;55;12;25;01/01/2024
6110444646;59;35;13;58;30/07/2024
5277091215;28;89;12;58;20/12/2024
5151539152;47;61;5;44;15/05/2024
9288270092;47;43;6;46;27/05/2024
8827164347;41;94;5;77;20/11/2024
1006640502;59;45;2;62;03/12/2024
4819576038;59;48;1;77;13/04/2024
8399777008;47;69;7;43;16/03/2024
7713205154;47;70;6;69;19/10/2024
4341128323;41;36;18;97;27/08/2024
5504472082;47;18;5;14;29/01/2024
9123281946;28;19;15;79;26/04/2024
1806706382;47;12;18;88;05/05/2024
7376255685;41;46;18;68;10/06/2024
9396169558;59;86;2;55;01/11/2024
2377960482;59;2;18;69;28/01/2024
6317404990;41;26;5;75;09/11/2024
