id_vente;id_vendeur;id_client;id_produit;quantite;date
2538334186;31;85;6;88;14/02/2024
9935376090;43;98;12;46;04/02/2024
1628386294;44;95;6;76;28/01/2024
9245403563;43;36;15;35;16/11/2024
5444890957;31;40;8;55;20/01/2024
7730821595;50;98;13;25;06/06/2024
2553658424;44;20;19;77;09/04/2024
8070323908;50;71;12;76;29/04/2024
7242966450;31;14;5;48;14/09/2024
1774663368;44;5;15;22;29/06/2024
8597396470;43;55;4;36;05/03/2024
1660008708;43;65;18;65;29/11/2024
2029254246;43;48;12;85;15/10/2024
9471491237;44;61;17;18;20/07/2024
7330797597;31;56;18;57;16/07/2024
7578203754;44;58;10;53;08/03/2024
2554451249;31;30;17;35;23/06/2024
9692056767;44;36;7;19;03/08/2024
1850437195;44;21;5;23;24/08/2024
5668538703;50;38;3;27;08/09/2024
9803651330;44;45;11;34;15/09/2024
1487740497;31;58;5;58;08/04/2024
1351290528;50;8;6;10;14/11/2024
3144952060;31;19;12;41;05/08/2024
7701855493;43;21;6;41;25/06/2024
8625666097;44;90;14;40;01/08/2024
1476081763;43;57;19;30;07/10/2024
1222041239;50;25;15;19;04/06/2024
7948168174;50;82;9;44;11/03/2024
4047188585;43;44;5;86;17/12/2024
1174130859;50;29;12;41;06/05/2024
3480437166;44;75;14;92;31/08/2024
3829803964;44;63;7;98;20/08/2024
6037465435;31;50;19;50;07/10/2024
3761349396;44;13;13;50;21/08/2024
6250659357;31;42;9;17;30/01/2024
5231495574;50;37;16;21;07/04/2024
6808038395;50;8;18;43;02/07/2024
3550207200;50;20;17;70;26/10/2024
1588601393;50;65;8;59;17/09/2024
8884253631;44;86;15;26;15/02/2024
6033627925;43;8;16;74;26/12/2024
6766142284;31;25;3;72;09/02/2024
1463517666;44;86;4;43;29/06/2024
4530931856;50;88;17;38;18/06/2024
9167165012;44;91;10;88;01/11/2024
9188288597;31;7;5;81;08/10/2024
3085273122;31;56;19;20;28/04/2024
2071800917;43;29;6;29;04/05/2024
7549615396;44;11;10;94;20/05/2024
5053571143;43;40;9;49;29/04/2024
2115958254;50;86;6;96;14/11/2024
4850060734;31;49;6;60;07/08/2024
7030669110;44;22;16;22;07/07/2024
2846045886;31;24;15;57;29/09/2024
3640721358;31;69;14;74;14/03/2024
9196191331;43;96;17;74;03/01/2024
1120789257;31;7;16;53;26/07/2024
4515999182;43;38;12;30;24/08/2024
6955484174;31;41;14;100;26/12/2024
1172534441;44;62;1;64;11/11/2024
7453538893;43;19;19;33;13/11/2024
9957958259;44;46;8;64;07/12/2024
4681214564;50;29;19;30;14/08/2024
9298764198;31;49;19;31;19/03/2024
7467558449;31;78;10;87;18/12/2024
8712117362;31;77;3;18;19/02/2024
9935968827;31;20;10;16;02/08/2024
5288753459;44;42;12;90;10/08/2024
3760706144;50;87;7;82;05/04/2024
7043254851;31;18;11;55;22/08/2024
8448373978;43;36;2;25;05/07/2024
9781495442;50;66;5;49;20/10/2024
1256405945;50;78;15;57;18/04/2024
8381267258;31;68;1;10;05/03/2024
1261846165;43;68;19;83;03/02/2024
6985670790;43;53;7;83;23/04/2024
4526721731;43;25;3;83;27/06/2024
4979669330;31;61;19;18;29/12/2024
8514295137;31;24;14;26;11/05/2024
1312215263;44;8;5;100;16/04/2024
2890214086;44;1;13;59;23/08/2024
1999106956;44;27;5;46;05/12/2024
5832780913;44;57;8;63;05/12/2024
6615657632;44;45;18;46;09/04/2024
6696086932;31;95;16;95;12/03/2024
7853592120;43;81;14;14;20/12/2024
3626538214;43;39;7;69;16/03/2024
4573213940;43;52;13;38;01/02/2024
4908462772;31;38;14;32;16/03/2024
1797661551;31;26;5;56;25/01/2024
9483531120;31;29;8;42;29/04/2024
2110168865;44;31;5;59;05/06/2024
2067181409;44;56;13;100;30/01/2024
7430206745;50;80;12;96;01/06/2024
2236574803;50;36;14;23;27/08/2024
9902730934;50;8;2;28;15/04/2024
6448976214;50;7;10;57;02/06/2024
9988714843;50;6;12;33;08/06/2024
9459790549;50;26;12;67;24/09/2024
6629559535;44;41;3;76;31/01/2024
9316721015;31;58;1;85;04/09/2024
6986415680;50;93;9;65;07/11/2024
9341472451;43;75;15;36;31/03/2024
6505316447;43;54;19;98;09/07/2024
3802902716;43;38;9;92;14/03/2024
4991931871;31;77;19;94;25/09/2024
5762758088;50;70;8;66;12/01/2024
8281278589;44;91;11;73;28/01/2024
9884940006;44;21;17;71;29/12/2024
9168126868;43;13;13;16;19/09/2024
2063050272;50;40;12;45;21/02/2024
6515674754;50;19;9;58;07/04/2024
9143292980;44;74;13;82;10/05/2024
8623087313;50;67;18;42;09/10/2024
2923311998;44;21;13;35;08/02/2024
4108098044;31;92;5;50;08/01/2024
1780171162;31;57;10;56;12/07/2024
7967670648;50;9;9;57;02/02/2024
5939107317;43;71;18;40;27/04/2024
9113273630;50;26;8;28;23/12/2024
7908585553;44;77;1;42;13/09/2024
3194716239;44;61;19;36;11/10/2024
3654968180;44;4;12;82;02/11/2024
2728773706;50;77;1;50;24/04/2024
3696419197;31;51;1;39;06/09/2024
