id_vente;id_vendeur;id_client;id_produit;quantite;date
5111683212;29;100;13;99;19/05/2024
5914911898;26;99;17;65;04/10/2024
9436637350;26;99;17;80;17/03/2024
2036801989;29;95;6;34;15/10/2024
1817268927;26;95;2;98;31/03/2024
2656334982;36;95;2;72;14/02/2024
6639949178;30;95;16;14;03/01/2024
6634094414;30;94;18;33;02/10/2024
3367748440;30;93;2;77;25/11/2024
3410364535;26;92;12;35;09/11/2024
3928483804;29;92;12;85;11/05/2024
2685031039;29;92;15;51;07/09/2024
8906424505;36;90;1;21;30/07/2024
7793906810;29;90;15;32;17/07/2024
6743736067;26;89;18;89;27/01/2024
6686627067;29;88;8;79;09/06/2024
4981659506;29;88;10;42;05/08/2024
9067572486;26;87;12;10;15/05/2024
3817483309;36;86;6;30;18/07/2024
6723861098;29;85;4;67;07/02/2024
1872548602;26;85;17;82;07/03/2024
8834030424;26;84;19;47;13/07/2024
5586632287;29;84;13;37;22/01/2024
4027057093;26;84;7;84;19/08/2024
4496088594;36;83;16;13;16/11/2024
2989124356;26;83;11;96;10/09/2024
5653897553;30;83;1;36;06/01/2024
7706278790;26;82;3;49;12/11/2024
8235638294;36;82;2;23;01/03/2024
2750312339;30;80;19;35;23/06/2024
4385186912;30;77;17;62;29/01/2024
7603362458;36;77;15;96;02/09/2024
3292210991;30;75;13;93;22/12/2024
4010226830;26;75;3;91;07/12/2024
2240152056;29;74;13;76;02/03/2024
7291951922;30;74;11;12;12/02/2024
8039014176;29;74;6;79;22/07/2024
4636251656;26;73;7;64;08/07/2024
5439512518;30;73;14;25;02/03/2024
4842219239;29;73;12;92;22/10/2024
3181696068;30;72;6;95;30/04/2024
7361708324;26;72;6;70;29/02/2024
7414537778;29;70;6;75;28/05/2024
1524768566;29;70;19;21;29/09/2024
4351022520;26;70;4;40;12/01/2024
5347262168;26;69;5;51;04/08/2024
6733827652;30;68;10;62;09/08/2024
4174036895;29;68;18;58;05/12/2024
1142160526;29;68;8;59;31/07/2024
5453556514;36;68;6;67;14/05/2024
4735070560;26;65;2;36;11/04/2024
5052344216;29;65;3;90;19/06/2024
3966456543;36;65;11;38;21/04/2024
1968316443;36;63;16;76;09/12/2024
6927771351;36;63;12;24;01/06/2024
9371105920;29;63;1;29;02/11/2024
9128289997;30;62;17;78;30/01/2024
7662447745;30;61;6;30;24/04/2024
2295408940;36;60;17;76;20/07/2024
1250864062;26;60;2;65;28/08/2024
3141694648;30;56;8;59;15/12/2024
5591378102;26;55;2;98;20/07/2024
3522124782;29;55;19;70;15/09/2024
4554102617;29;54;9;48;31/10/2024
9939779855;29;54;7;89;25/06/2024
3615592358;36;53;5;44;09/10/2024
9131535323;26;52;18;55;03/01/2024
3455005178;36;50;9;75;02/08/2024
7679655876;36;49;10;49;20/01/2024
4048893058;26;48;4;92;29/05/2024
7153366141;26;47;15;92;01/09/2024
6183424406;29;46;7;71;16/03/2024
2001017802;36;46;10;16;22/07/2024
5053501224;36;46;10;32;22/11/2024
2818710796;29;45;18;74;07/08/2024
1669428887;36;44;5;14;01/05/2024
8099708938;26;43;13;88;31/05/2024
7288145425;26;43;7;84;03/11/2024
1693698796;26;43;5;38;16/07/2024
3310159894;29;42;7;26;14/06/2024
8102797918;26;42;2;82;25/06/2024
2430123437;26;41;2;64;06/04/2024
2542895856;26;39;3;39;27/01/2024
4311898979;36;38;1;95;16/07/2024
6745698285;30;37;13;23;29/03/2024
5108225286;29;36;18;14;04/07/2024
4092693804;30;34;17;35;18/12/2024
2265344191;36;34;10;87;15/07/2024
2017441065;30;33;19;90;26/10/2024
5658507664;36;33;5;16;06/07/2024
5928267727;29;32;14;92;01/04/2024
4785278182;29;32;7;63;26/05/2024
9452012900;26;32;3;27;24/12/2024
7541150025;36;28;6;50;07/11/2024
7340073946;29;27;2;59;03/11/2024
9803443231;30;27;16;17;25/06/2024
9488564766;29;26;14;90;22/02/2024
3657994238;36;26;6;56;20/12/2024
8606883224;36;25;5;94;04/08/2024
1990522689;29;25;10;12;09/03/2024
3318902509;30;25;13;53;24/09/2024
8001716265;30;24;7;42;26/09/2024
7278677645;30;23;11;71;03/01/2024
7211966946;29;23;2;22;27/05/2024
1498813062;30;22;15;22;27/08/2024
1058634430;26;19;16;97;12/06/2024
5377533752;30;19;4;99;15/10/2024
8631273999;29;17;9;98;16/10/2024
4871491143;29;16;13;95;27/05/2024
1466747444;30;15;2;49;18/08/2024
9171484250;26;15;15;97;08/02/2024
3502987695;30;14;14;43;01/02/2024
1081389336;26;13;1;90;19/02/2024
6389298622;29;11;14;92;18/10/2024
4461408942;30;10;5;29;17/04/2024
9865150056;36;10;17;94;01/02/2024
6130346749;30;10;3;34;25/07/2024
9262866546;26;10;16;23;08/10/2024
6317883501;29;7;18;10;30/06/2024
1867206080;30;7;17;30;18/04/2024
8339585130;36;7;10;13;29/04/2024
8190701763;29;7;8;42;23/09/2024
7587991656;26;7;19;16;07/05/2024
6115165723;30;5;12;37;11/06/2024
1519908472;30;4;11;38;21/01/2024
6612129002;30;4;19;14;05/01/2024
4270727131;30;2;3;93;26/09/2024
5618541917;30;2;10;91;06/05/2024
